id,naver_place_id,name,category,address,lat,lng,review_count,voted_total,voter_count
2417,2086287509,디저트39 홍대입구역점,카페,신촌로 28,37.5575739,126.929194,20,64,20
2418,1310906997,메가MGC커피 창천점,카페,신촌로 19,37.5581218,126.929172,1922,3376,902
2419,1590231733,버터링링 케이크,케이크전문,신촌로9길 12 1층,37.5574618,126.9322236,1,4,1
2420,18241300,파리바게뜨 카페신촌점,베이커리,"연세로4길 1 (창천동) 1,2층",37.5570604,126.9371105,3686,3804,1426
2421,1263796607,빽다방 신촌연세로점,테이크아웃커피,연세로 23 1층,37.5577397,126.9367855,101,230,82
2422,2086135820,리마인드커피,카페,신촌로 16 1층,37.5580153,126.9281242,96,406,78
2423,32351642,공차 신촌연세로점,차,연세로 27 1층 공차 신촌연세로점,37.5580438,126.9367545,1991,2050,859
2424,18240255,파티오,카페,연세로5다길 28,37.5568406,126.9340152,408,815,249
2425,1487179645,고미푸딩 홍대점,"카페,디저트",양화로 188 AK PLAZA 홍대 3층,37.5574453,126.9267785,592,1563,551
2426,1395927447,수상한베이글 홍대2호점,카페,신촌로4길 22-20 은창빌딩 1층,37.5574439,126.9273208,158,403,141
2427,1744417217,언더우드스터디카페,스터디카페,명물1길 2 지하1층,37.557847,126.9373715,28,116,25
2428,1239492165,와플샵 AK플라자 홍대,베이커리,양화로 188 1층 와플샵,37.5574453,126.9267785,345,543,311
2429,1740265213,CAFE IN U 현대백화점 신촌점 U-PLEX점,"카페,디저트",연세로 13,37.5568522,126.9367589,25,47,23
2430,2005365517,나폴나폴,"카페,디저트",신촌로4길 22-8 1층 좌측 101호,37.557154,126.9278895,140,601,130
2431,2002854677,아크 홍대점,베이커리,신촌로2길 5-8 1층,37.5577905,126.9278002,179,722,158
2432,2075807197,카페티노,"카페,디저트",신촌로2안길 35 1층 카페티노,37.5570058,126.9290561,5,14,5
2433,2023552736,블랭크베이크,"카페,디저트",연세로5나길 41 1층,37.5571667,126.9338431,79,320,77
2434,1541960059,던킨 공항철도홍대역사점,도넛,양화로 188 5번출구 지하2층 던킨도너츠,37.5577023,126.9265878,1854,1722,890
2435,1691887046,앤드커피바,"카페,디저트",신촌로 57 3층 301호,37.5568102,126.9329502,21,82,21
2436,36601195,몰리스,케이크전문,연세로5다길 22-7,37.5569389,126.9344463,475,724,262
2437,1095151400,CAFE07,"카페,디저트",신촌로2안길 40 지하1층,37.5568424,126.9291719,10,25,8
2438,2061143681,메이카페,"카페,디저트",신촌로 51 1층,37.55697,126.9323127,15,55,11
2439,13158412,카페포엠,카페,연세로 25,37.5578541,126.9367116,280,312,85
2440,2021985707,포츈맨션,"카페,디저트",어울마당로 155 2층 201호,37.5568774,126.9269971,1,5,1
2441,31229995,세시봉,라이브카페,연세로5가길 32,37.5573677,126.9349314,7,8,5
2442,1534295338,러비니돌,갤러리카페,신촌로2안길 20 B02호,37.5572629,126.9281492,1058,1122,494
2443,1581469411,보라곰 주문제작&레터링케이크,케이크전문,신촌로2안길 12 1층 102호 보라곰케이크,37.5573802,126.9277927,243,951,235
2444,1990202003,익커피,"카페,디저트",신촌로 20 1층,37.5578876,126.9284706,379,513,177
2445,1936592013,팝버블카페 2호점,"카페,디저트",양화로 188,37.5574451,126.9267785,127,213,111
2446,2046037005,리틀문카페,"카페,디저트",신촌로11길 7 1층 101호,37.5570855,126.9327872,18,88,9
2447,1607760992,용용선생 신촌점,요리주점,연세로7길 20 1층,37.55774,126.9357343,3180,11368,3063
2448,36324567,소신이쏘 신촌본점,"육류,고기요리",연세로5가길 19 1층,37.5572041,126.9355349,2350,5126,1676
2449,1931615731,아무술집 신촌점,"맥주,호프",연세로7길 21 1층 아무술집,37.5575926,126.9356602,197,265,128
2450,1595407960,교토우마이,이자카야,연세로5가길 19 2층 교토우마이,37.5571939,126.9355561,580,2275,552
2451,21581804,칵테일바이스케이프,바(BAR),연세로5가길 16 지하 칵테일바이스케이프,37.5574014,126.9358675,329,1280,246
